nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,biography,birthday,deathday,tmdb_id,known_for_department,place_of_birth,popularity,profile_photo
nm0957396,Zirek,,,"actor,director,writer","tt1556007,tt10236760,tt0206917,tt0233418",Inconnu,1957-07-10,,1126275.0,Acting,"Hakkari, Türkiye",0.2818,https://image.tmdb.org/t/p/w500//8L3yEJUn7fP9zekYuMeNBYuWOEH.jpg
nm0957645,Jean-Pierre Zola,1916.0,1979.0,"actor,archive_footage","tt0061647,tt0050706,tt0286395,tt0059825",Inconnu,1916-02-05,1979-01-18,5764.0,Acting,"Vienna, Austria-Hungary [now Austria]",1.0866,https://image.tmdb.org/t/p/w500//rw2Dgl0wTLYWqSvpElqehHsFBxh.jpg
nm0958088,Zouzou,1943.0,,"actress,archive_footage","tt0068205,tt0072107,tt0061954,tt0112366","Zouzou (born Danièle Ciarlet on November 29, 1943) is an actress, model, singer and icon of the 1960s and early 1970s. She is known largely for her lead role in Éric Rohmer's Love in the Afternoon. Her career, however, was constantly hampered by her addiction to heroin and other drugs. She went for detox for 2 years away in the Antilles.

Description above from the Wikipedia article Zouzou, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1943-11-29,,34266.0,Acting,"Blida, Alger, France [now Algeria]",0.9111,https://image.tmdb.org/t/p/w500//5K3VdIKiTfRH8Xoe8ubSL4W8c2c.jpg
nm0958208,Marco Zuanelli,1939.0,,actor,"tt0064916,tt0198960,tt0201051,tt0066188",Inconnu,,,1035009.0,Acting,Inconnu,1.004,https://image.tmdb.org/t/p/w500//6bL640akAd6HgGkGH5bezehIqTx.jpg
nm0958558,Andrzej Zulawski,1940.0,2016.0,"writer,director,assistant_director","tt0082933,tt4035268,tt0087250,tt0204761","Andrzej Żuławski (November 22, 1940 – February 17, 2016) was a Polish film director. He was born in Lwów, Poland (now Lviv, Ukraine). Żuławski often went against mainstream commercialism in his films, and enjoyed success mostly with European art-house audiences. In the late 1950s, he studied cinema in France. His second feature The Devil (1972) was banned in Poland, and Żuławski went to France. After the success of That Most Important Thing: Love in 1975, he returned to Poland where he spent two years in making The Silver Globe (1988). The work on this film was interrupted by the Polish authorities. After that, Zulawski moved to France where became known for controversial and violent art-house films. Zulawski is also known for his work with certain specific actresses including Romy Schneider, Isabelle Adjani and Sophie Marceau.",1940-11-22,2016-02-17,32082.0,Directing,"Lwów, Lwów Voivodeship, Poland [now Lviv, Ukraine]",2.1085,https://image.tmdb.org/t/p/w500//A9OzmL6AJmqGfqEyGo1pvG3o8Fo.jpg
nm0959113,Elsa Zylberstein,1968.0,,"actress,producer,director","tt1068649,tt1918911,tt2062990,tt0103190","Elsa Zylberstein (born 16 October 1968) is a French film, TV, and stage actress. After studying drama, Zylberstein began her film career in 1989. She won the César Award for Best Supporting Actress for I've Loved You So Long (2008).

Description above from the Wikipedia article Elsa Zylberstein, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1968-10-16,,39195.0,Acting,"Paris, France",1.9323,https://image.tmdb.org/t/p/w500//bw1bIuyfyOyxRlx2qIKk4AwQLTU.jpg
nm0959897,Jean-Philippe Écoffey,1959.0,,"actor,director,writer","tt0119590,tt0301199,tt0454824,tt0118854",Inconnu,1959-07-08,,49946.0,Acting,"Lausanne, Vaud, Switzerland",1.6166,https://image.tmdb.org/t/p/w500//kBCeL63g94b97FdeID04Yswfvg5.jpg
nm0959916,Pierre Étaix,1928.0,2016.0,"actor,writer,director","tt0064390,tt0207145,tt0059934,tt0056514","Pierre Étaix was a French comedian and filmmaker. Étaix made a series of short- and feature-length films, many of them co-written by influential screenwriter Jean-Claude Carrière. He won an Academy Award for best live-action short film in 1963.",1928-11-23,2016-10-14,548816.0,Directing,"Roanne, Loire, France",0.8069,https://image.tmdb.org/t/p/w500//mw962zvEG0Wp4Wm2jQqp2pxqtz1.jpg
nm0959923,Yvette Etiévant,1922.0,2003.0,"actress,archive_footage","tt0053459,tt0070959,tt0063152,tt0042619","Yvette Etiévant (1922–2003) was a French actress. She starred in Yves Robert's War of the Buttons (La Guerre des boutons) in 1962.

Source: Article ""Yvette Etiévant"" from Wikipedia in English, licensed under CC-BY-SA.",1922-12-30,2003-03-17,39441.0,Acting,"Paris, France",0.836,https://image.tmdb.org/t/p/w500//p4UwEKcxjMWKBge20UlEEPvUWBF.jpg
nm0970861,Philippe Elno,,,"actor,writer","tt4693588,tt1337152,tt2276778,tt4772244",Inconnu,1966-07-11,,574650.0,Acting,"Mâcon, Saône-et-Loire, France",0.0676,https://image.tmdb.org/t/p/w500//9ILzkXFr8ltjJA0b0BslK1syWnW.jpg
nm0972531,Louise Monot,1981.0,,actress,"tt1167660,tt1440232,tt0444518,tt3145422","Louise Monot (born 30 December 1981) is a French actress and model.

Known as the face of the French cosmetics company Bourjois, she is also known for portraying one of the schoolgirls, Marine Lavor, on the television series, La vie devant nous. Monot also appeared in the film OSS 117: Lost in Rio.

She is a cast-member on the Amazon Studios science fiction drama series, The After.",1981-12-30,,78425.0,Acting,"Paris, France",0.9841,https://image.tmdb.org/t/p/w500//jsPGwiU4QnAhkVugKFUi9pSTD5r.jpg
nm0991511,Max Boublil,1981.0,,"actor,writer,soundtrack","tt4032428,tt7998848,tt2354181,tt0309160","Max Boublil (born Maximilien Léon Boublil; 17 May 1979) is a French actor of Sephardi Jewish descent, singer and comedian. He has released 2 albums.

Boublil started his career as a comedian in a number of films (Le Bon Fils, Les Gaous, Doo Wop, T.I.C.), in television films and series such as (Sous le Soleil, Navarro, Quai N°1, Hé M'sieur!, Mystère) and a number of advertisements (Crunch, Yoplait, Direct Assurance).

In May 2007, he released the provocative and humorous song ""Ce soir... tu vas prendre"" online and gained big fame and was invited to appear on ""Dating"" spot on Le Grand Journal on Canal+. He left in October 2007, to concentrate on his one-man shows between 2007 and 2009 including a long French tour Max prend.... and in the provinces under the title Max prend la route starting January 2008.

He also took part in TV shows such as One Man Sauvage and did comedy in Max les veut toutes, a F2H production broadcast on Comédie! and NRJ 12 and in May and June 2010, in the television reality show Dilemme on W9 where he presented Le Mag de Max. In September 2010, he came with his new show Le one man musical that included songs and sketches.

For his music career, he has released two albums, the debut L'album released on 14 February 2011 and the follow up Le 2ème album in June 2012. He is also well known for his humoristic takes on certain songs and personalities such as in ""Ce soir tu vas prendre"", ""Susan Boyle"", ""Chanson raciste"", ""J'aime les moches"" and others.

Max Boublil co-written and appeared in the film Les Gamins with Alain Chabat, which was released in April 2013.

Source: Article ""Max Boublil"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1979-05-17,,146359.0,Acting,"Paris, France",0.6615,https://image.tmdb.org/t/p/w500//7dgZ7jILjT8LicQXAYf35WhZ403.jpg
nm0991736,Olivier Gueritée,,,"production_manager,location_management,actor","tt14824590,tt18690404,tt1700467,tt7030016",Inconnu,1986-05-26,,224504.0,Acting,France,0.5273,https://image.tmdb.org/t/p/w500//1YAr2rBQBmNQtqMr4xeBGF4t5mf.jpg
nm0993133,Elise Larnicol,,,"actress,miscellaneous,writer","tt0285348,tt0357111,tt7238392,tt6054882","Elise Larnicol is a French film, television, and theatre actress.

She was a member of the troop Les Robins des Bois (The Robinhoods), a French humoristic troop formed in 1996 with Pierre-François Martin-Laval, Jean-Paul Rouve, Marina Foïs and others.

Source: Article ""Elise Larnicol"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1968-04-11,,77930.0,Acting,"Cenon, Gironde, France",0.8684,https://image.tmdb.org/t/p/w500//9RgisCUwrG9kaJN2aCv6RMsl9A8.jpg
nm0993242,Clémence Poésy,1982.0,,"actress,director,writer","tt0780536,tt6723592,tt0377184,tt0926084","Clémence Guichard (born 30 October 1982), known professionally as Clémence Poésy, is a French actress and fashion model. After starting on the stage as a child, Poésy studied drama and has been active in both film and television since 1999, including some English-language productions. She is known for the roles of Fleur Delacour in the Harry Potter film series, Chloë in In Bruges, Rana in 127 Hours, Natasha Rostova in War and Peace, and the lead role as Elise Wassermann in the 24-episode series The Tunnel.",1982-10-30,,11291.0,Acting,"L'Haÿ-les-Roses, Val-de-Marne, France",3.6831,https://image.tmdb.org/t/p/w500//1R6HBAwboHRfAdy4A1Dn2hXmobj.jpg
nm0996471,Samuel Benchetrit,1973.0,,"actor,writer,director","tt6147954,tt0827713,tt0286854,tt10965976",Inconnu,1973-06-26,,54296.0,Directing,"Champigny-sur-Marne, Francia",0.4099,https://image.tmdb.org/t/p/w500//gXQwbLBHlxU4MJVo8UZK3nzbR78.jpg
nm0998117,Alice Taglioni,1976.0,,"actress,composer,director","tt0383216,tt0449851,tt1726861,tt29288566","From Wikipedia, the free encyclopedia

Alice Taglioni (born 26 July 1976) is a French actress.",1976-07-26,,38863.0,Acting,"Ermont, Val-d'Oise, France",1.4127,https://image.tmdb.org/t/p/w500//pxgf8unDyUiWkgIz2QbvBeEMkzg.jpg
nm1000119,Josy Eisenberg,1933.0,2017.0,writer,"tt0069747,tt7818114,tt2181223,tt2424484","Josy (Yossef) Eisenberg (12 December 1933 – 8 December 2017) was a French television producer and rabbi. A Hasidic Jew of Polish origin (his father Oscar (Ovadia) was a Polish-born rabbi), he produced an animated TV show, À bible ouverte, which has been running on France 2 since the early 1960s. He was also the co-scenarist of the movie The Adventures of Rabbi Jacob and wrote a number of different books including Seven Lights: On the Major Jewish Festivals with Adin Steinsaltz and Job ou Dieu dans la tempête with Elie Wiesel.

Rabbi Eisenberg died on 8 December 2017 at 83 years old.

Source: Article ""Josy Eisenberg"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1933-12-12,2017-12-08,11196.0,Writing,"Strasbourg, Bas-Rhin, France",0.4669,https://image.tmdb.org/t/p/w500//qgEzEXr3UNDC6VscKXtBOpi3Dpo.jpg
nm1002627,Nicolas Cazalé,1977.0,,"actor,director,writer","tt0361670,tt0380773,tt0864770,tt0395736","Nicolas Cazalé (born 24 April 1977 in Pau, France) is a French model and actor who is most noted for his role in the 2004 French film, Le Grand Voyage for which he won a Jury Award for Best Actor at the 2005 Newport International Film Festival. He was also named one of European cinema's up-and-coming talents and won the Shooting Stars Award in 2008.",1977-04-24,,26282.0,Acting,"Pau, France",1.2624,https://image.tmdb.org/t/p/w500//a1NyEPcJb5BR5l7tHutLP68Jn5D.jpg
nm10078453,Maëva El Aroussi,,,actress,"tt8883922,tt15740736,tt1738562,tt30399158",Inconnu,1997-07-18,,2942820.0,Acting,Paris France,0.0775,https://image.tmdb.org/t/p/w500//aHZYZ7e7w97uWc7uy88gXrgawAL.jpg
nm1011749,Yann Moix,1968.0,,"writer,director,actor","tt0354836,tt1130984,tt0275383,tt0482914","Yann Moix (born 31 March 1968) is a French author, film director and television presenter. He is the author of ten novels and the recipient of several literary prizes. He has directed three films. He was a columnist on On n'est pas couché.

Yann Moix was born on 31 March 1968 in Nevers, France. He earned a bachelor's degree in Philosophy from the University of Reims Champagne-Ardenne and graduated from the École supérieure de commerce de Reims. He subsequently graduated from Sciences Po.

Moix is the author of several novels. He won the Prix Goncourt du premier roman, as well as the Prix François Mauriac from the Académie Française, for Jubilations vers le ciel in 1996. In 2013, he won the Prix Renaudot for Naissance.

Moix has directed three films, including Podium, which is based on one of his novels. Between 2015 and 2018, Moix was a panellist on On n'est pas couché, a television program. He also writes for the magazine La Règle du Jeu.

In 2009, Moix signed a petition in support of film director Roman Polanski, calling for his release after Polanski was arrested in Switzerland in relation to his 1977 charge for drugging and raping a 13-year-old girl.

In 2010, Moix signed a petition against the Gayssot Act created by his friend and Holocaust denier Paul-Éric Blanrue, stating that Robert Faurisson and Serge Thion were ""serious, intelligent, though delirious revisionists"".

In January 2019, Moix's comments about women over the age of 50 caused outrage on social media in France. In an interview with the French edition of the women's magazine Marie Claire, Moix declared that women in their 50s were “invisible” to him and that he preferred ""younger women's bodies."" He added that he preferred dating Asian women, particularly if they are Korean, Chinese or Japanese.

In August 2019, his novel Orléans was published to critical acclaim, but it left critics and the public bewildered about the revelations it contained. The book, despite being presented as a novel, is made to look heavily autobiographical, which lead the public to think that Yann Moix actually endured as a young boy what the protagonist goes through. The book is laced with hate for the narrator's parents, with Moix positioning himself between the lines as a real-life long-suffering victim who finally dares to tell the truth. Following public protests by Moix's parents and younger brother, it was revealed that some of the severe incidents described in the book actually took place between him and his brother, who is not mentioned in the book, with Yann Moix as the tormentor, and that several of the situations depicted were in fact made up or ""heavily exaggerated"". His brother, Alexandre Moix, who is also a writer and film producer and whose first book Yann Moix had apparently tried to block the publication of on the grounds that ""there can only be one Moix, MOI!"" [him], told media that his elder brother ""prefers to serve his own ambition rather than the truth"". He also stated that his older brother should not be a flag-bearer for suffering children, since ""he doesn't care about other people's suffering"". ...

Source: Article ""Yann Moix"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1968-03-31,,112197.0,Writing,"Nevers, Nièvre, France",0.4938,https://image.tmdb.org/t/p/w500//5SHsv4VzdgDCFOBrBhOIE7T3MlS.jpg
nm10134969,Mehdi Baki,1988.0,,"actor,art_department,assistant_director","tt19887550,tt13531468,tt27170247,tt26741544",Inconnu,,,3484588.0,Acting,Inconnu,0.2601,https://image.tmdb.org/t/p/w500//2xHtUo9W5Ws5INFGdawkPMrLDr2.jpg
nm1016687,Laurent Tirard,1967.0,2024.0,"writer,director,actor","tt12105554,tt0796335,tt1264904,tt0289688","From Wikipedia, the free encyclopedia.

Laurent Tirard is a French film director and screenwriter.

Description above from the Wikipedia article Laurent Tirard, licensed under CC-BY-SA, full list of contributors on Wikipedia",1967-02-18,2024-09-05,64575.0,Writing,"Roubaix, France",1.0764,https://image.tmdb.org/t/p/w500//y5rTm98EYEAFZQvCWVLbnCCHINt.jpg
nm1021224,Rachida Brakni,1977.0,,"actress,writer,director","tt0265116,tt4787510,tt20194882,tt1124397",Inconnu,1977-02-15,,56241.0,Acting,"Paris, France",1.4467,https://image.tmdb.org/t/p/w500//bsPgWJjtKcXI7IZH2ro0A7BlJfA.jpg
